author;comment;likeCount;publishedAt
@tiurmauli8630;HATI 2  SAAT INI  SITUASI PANAS  KEBENCIAN TERHADAP KEL PAK JOKOWI SEHINGGA ADA KESEMPATAN   PARA PEMBENCI  UTK  MENGHINA  KEL PAK  JOKOWI DAN KEL BOBY N;0;2025-06-16T21:20:07Z
@rxpremium4811;Pemimpin harus menjamin ketentraman rakyatnya  tidak seperti ini selalu gaduh dan gaduh  ;1;2025-06-16T21:14:42Z
@RaisAmbo-s2n;bobi menggatakan pemerita daerah tdk ada wewenag  klu nga ada wewenag jgn jadi pemimpin daerah;0;2025-06-16T21:06:05Z
@livemabarmc;alamat jadi tambang lagi klo pindah ke sumut  tau lah yg terjadi di raja ampat  apa lg skrg sumut dipimpin sm siapa   Ã°Å¸â€œÂ¢Ã°Å¸â€œÂ¢;0;2025-06-16T20:47:57Z
@DaffaRamdhan-b5z;Pecat tito  tito titipan jokowi;1;2025-06-16T20:35:30Z
@kafkagsji792;Prabowo sm Jokowi Bobi  satu dalam rumah ny juga;0;2025-06-16T19:50:47Z
@ivanjexton;Saya org jakarta dukung aceh  bahanya perebutan memang itu punya aceh ngapain di rebut konyol  rakus amat kurang apa pik sma raja ampat sma kalimantan    rakus rakus  ;0;2025-06-16T19:46:32Z
@ttnd_4127;Bikin gaduh mendagri  engga tau sejarah  bravo rakyat acehÃ¢ÂÂ¤Ã¯Â¸ÂÃ¢ÂÂ¤Ã¯Â¸Â;1;2025-06-16T19:38:20Z
@Rubino123-lu1ht;aceh miskin;0;2025-06-16T19:18:29Z
@sunartonarto465;pecat tito;0;2025-06-16T19:07:08Z
@akbarrabka-u3x;Dari jatim suport aceh From east java suport aceh;0;2025-06-16T19:01:40Z
@CURAHANYANGTERDALAM;Mempertahankan hak milik itu wajib contoh jika ada pencuri dia ingin mencuri milik kita kita wajib mempertahankan hak kita Tidaklah halal harta seorang muslim kecuali dengan cara yang baik  Barang siapa terbunuh mempertahankan hartanya maka ia syahid  Islam itu rindu syahid  Aceh mayoritas islam dan islamnya masi kental dan kuat  Salam anak acehÃ°Å¸â„¢ÂÃ°Å¸ÂÂ»;0;2025-06-16T19:00:26Z
@halimulfa4437;Pertahankan hak kalian saudara ku di Aceh sampai titik darah penghabisan bravo saudara ku tuhan melindungi kalian semua;0;2025-06-16T18:27:27Z
@TNJISLAMIC;Manusia2 serakah  Hanya demi kepentingan sekelompok orang  mereka sanggup berperang  Kepri bersama aceh ;0;2025-06-16T18:21:41Z
@junaidijunaidi2633;Oi Tulang tulang ku  opung yg di sumatra utara     dukung Aceh  kita sama sama org kcilll;0;2025-06-16T18:12:26Z
@junaidijunaidi2633;Jujur bro saya org palembang muakkkk kepada tito karnapian itu mau bikin Rakyat indonesia trpecah belah  ;0;2025-06-16T18:11:06Z
@artoodiwan1204;ngebohong kalo cuma ngeberesin administrasi daerah  masih banyak daerah enclave di propinsi lain di Indonesia ;0;2025-06-16T18:08:01Z
@junaidijunaidi2633;Saya sdah mendaftar mau iku GAM  untuk membela Aceh ( serambi mekah);0;2025-06-16T18:06:12Z
@junaidijunaidi2633;Gubenur sumut itu ank nantu jokowi   haus harta dan jabatan jugo oi;0;2025-06-16T17:59:52Z
@junaidijunaidi2633;Santet bae oi tito karnapian itu   merusak kedamaiann bangsa dewek;0;2025-06-16T17:58:24Z
@CoComeongs;Makzulkan si bobi;0;2025-06-16T17:58:12Z
@junaidijunaidi2633;Semua rakyat indonesia   bahwa mentri dalam negeri itu /;;
@junaidijunaidi2633;Trus berjuang org org aceh;0;2025-06-16T17:49:21Z
@junaidijunaidi2633;Ya jelas saya org kecil dr sumatra selatan  mendukung Acehhh  ;0;2025-06-16T17:47:16Z
@junaidijunaidi2633;Truskan perjuangan Aceh    aku org palembÃƒÂ ng ikut mendukung    ini ulah wong palembang tito karnapian sok sok hebatt kau titoooooo;0;2025-06-16T17:46:09Z
@junaidijunaidi2633;Ya copot tito karnapian kami wong palembang jjik atas kegaduhan  nya  dr tito karnapÃƒÂ¬an itu  oi Tito  karnpian jangan icak icak hebat kau itu baru jdi mentri kau     pecat  pecat  tito karnapian itu;0;2025-06-16T17:42:59Z
@SirwanOppo;Smoga rakyat Aceh teruslah berjuang dan bersatu   bila pulau itu tak kembali   kita akan bersama seluruh rakyat Aceh Darussalam     tanpa terkecuali    minta Kemerdekaan    hidup atau mati AllahuAkbar ;0;2025-06-16T17:38:49Z
@darkasyi4230;Yang betul boss izin itukan kamu mencuri gak orang kenapa dulu dulu sebelum dirimu menjabat gubernur gak ada maleng maleng kayak sekarangÃ°Å¸ËœÅ Ã°Å¸ËœÅ Ã°Å¸ËœÅ ;0;2025-06-16T17:35:36Z
@teukuandrealsyah9032;perang           ;0;2025-06-16T17:33:03Z
@OfilSuriadi;lo pikir pulau panjang punya lo asuh;0;2025-06-16T17:23:16Z
@OfilSuriadi;lo pikir pulau panjang punya lo asuh;0;2025-06-16T17:22:45Z
@OfilSuriadi;baby nasution;0;2025-06-16T17:22:19Z
@BumiPutra-f2b;Yg setuju Tito dicopot mana jempolnya   ;0;2025-06-16T17:20:48Z
@BumiPutra-f2b;Saya orang Jatim mendukung rakyat Aceh     ;0;2025-06-16T17:19:39Z
@liyacute-kv5ji;pak parbowo mau lawan korupsi tapi temennya rakus;0;2025-06-16T17:15:43Z
@SkylineErwin;copot tito kembalikan 4 pulau ke Aceh Ã°Å¸â€˜Â;0;2025-06-16T17:03:58Z
@IndriyadiNazarudin;Jgn coba2 dong dgn aceh   siapapun anda      ;0;2025-06-16T17:01:10Z
